DateTime,co2_concentration,air_temperature,relative_humidity,apt_no,room_no,kitchen,livingroom,bedroom,office,kitchen_livingroom,room_type,floor_area,Hour of the day,Day number of the week,window_opening_gt,occupancy_ground_truth
30-01-23 00:00,637.0806,20.40035,37.545722,1,1,0,0,1,0,0,1,16,0,1,0,0
30-01-23 00:05,640.3802,20.38045,37.56422,1,1,0,0,1,0,0,1,16,0,1,0,0
30-01-23 00:10,650.279,20.36055,37.601216,1,1,0,0,1,0,0,1,16,0,1,0,0
30-01-23 00:15,622.2324,20.38045,37.517975,1,1,0,0,1,0,0,1,16,0,1,0,0
30-01-23 00:20,,,,1,1,0,0,1,0,0,1,16,0,1,0,0
30-01-23 00:25,609.8589,20.38045,37.490228,1,1,0,0,1,0,0,1,16,0,1,0,0
30-01-23 00:30,661.0027,20.38045,37.675208,1,1,0,0,1,0,0,1,16,0,1,0,0
30-01-23 00:35,751.7417,20.42025,38.692598,1,1,0,0,1,0,0,1,16,0,1,0,0
30-01-23 00:40,797.9361,20.4899,39.201293,1,1,0,0,1,0,0,1,16,0,1,0,0
30-01-23 00:45,821.0333,20.53965,39.469514,1,1,0,0,1,0,0,1,16,0,1,0,0
30-01-23 00:50,848.255,20.5894,39.737735,1,1,0,0,1,0,0,1,16,0,1,0,0
30-01-23 00:55,879.6012,20.61925,39.654494,1,1,0,0,1,0,0,1,16,0,1,0,0
30-01-23 01:00,857.3289,20.65905,39.589751,1,1,0,0,1,0,0,1,16,1,1,0,1
30-01-23 01:05,840.006,20.6889,39.599,1,1,0,0,1,0,0,1,16,1,1,0,1
30-01-23 01:10,876.3016,20.69885,39.608249,1,1,0,0,1,0,0,1,16,1,1,0,1
30-01-23 01:15,885.3755,20.669,39.645245,1,1,0,0,1,0,0,1,16,1,1,0,1
30-01-23 01:20,,,,1,1,0,0,1,0,0,1,16,1,1,0,1
30-01-23 01:25,852.3795,20.7287,39.552755,1,1,0,0,1,0,0,1,16,1,1,0,1
30-01-23 01:30,863.1032,20.6889,39.562004,1,1,0,0,1,0,0,1,16,1,1,0,1
30-01-23 01:35,877.9514,20.7088,39.589751,1,1,0,0,1,0,0,1,16,1,1,0,1
30-01-23 01:40,881.251,20.6889,39.617498,1,1,0,0,1,0,0,1,16,1,1,0,1
30-01-23 01:45,851.5546,20.6889,39.626747,1,1,0,0,1,0,0,1,16,1,1,0,1
30-01-23 01:50,865.5779,20.6889,39.543506,1,1,0,0,1,0,0,1,16,1,1,0,1
30-01-23 01:55,831.757,20.6889,39.571253,1,1,0,0,1,0,0,1,16,1,1,0,1
30-01-23 02:00,850.7297,20.69885,39.515759,1,1,0,0,1,0,0,1,16,2,1,0,1
30-01-23 02:05,845.7803,20.7088,39.599,1,1,0,0,1,0,0,1,16,2,1,0,1
30-01-23 02:10,850.7297,20.69885,39.599,1,1,0,0,1,0,0,1,16,2,1,0,1
30-01-23 02:15,849.0799,20.71875,39.599,1,1,0,0,1,0,0,1,16,2,1,0,1
30-01-23 02:20,,,,1,1,0,0,1,0,0,1,16,2,1,0,1
30-01-23 02:25,849.0799,20.71875,39.617498,1,1,0,0,1,0,0,1,16,2,1,0,1
30-01-23 02:30,846.6052,20.7685,39.580502,1,1,0,0,1,0,0,1,16,2,1,0,1
30-01-23 02:35,839.1811,20.73865,39.589751,1,1,0,0,1,0,0,1,16,2,1,0,1
30-01-23 02:40,830.9321,20.75855,39.589751,1,1,0,0,1,0,0,1,16,2,1,0,1
30-01-23 02:45,806.1851,20.73865,39.580502,1,1,0,0,1,0,0,1,16,2,1,0,1
30-01-23 02:50,814.4341,20.75855,39.543506,1,1,0,0,1,0,0,1,16,2,1,0,1
30-01-23 02:55,812.7843,20.7685,39.571253,1,1,0,0,1,0,0,1,16,2,1,0,1
30-01-23 03:00,825.1578,20.73865,39.571253,1,1,0,0,1,0,0,1,16,3,1,0,1
30-01-23 03:05,824.3329,20.75855,39.50651,1,1,0,0,1,0,0,1,16,3,1,0,1
30-01-23 03:10,809.4847,20.7685,39.562004,1,1,0,0,1,0,0,1,16,3,1,0,1
30-01-23 03:15,811.9594,20.77845,39.534257,1,1,0,0,1,0,0,1,16,3,1,0,1
30-01-23 03:20,,,,1,1,0,0,1,0,0,1,16,3,1,0,1
30-01-23 03:25,811.1345,20.79835,39.460265,1,1,0,0,1,0,0,1,16,3,1,0,1
30-01-23 03:30,817.7337,20.8083,39.488012,1,1,0,0,1,0,0,1,16,3,1,0,1
30-01-23 03:35,811.9594,20.81825,39.488012,1,1,0,0,1,0,0,1,16,3,1,0,1
30-01-23 03:40,820.2084,20.8083,39.423269,1,1,0,0,1,0,0,1,16,3,1,0,1
30-01-23 03:45,809.4847,20.81825,39.404771,1,1,0,0,1,0,0,1,16,3,1,0,1
30-01-23 03:50,819.3835,20.81825,39.358526,1,1,0,0,1,0,0,1,16,3,1,0,1
30-01-23 03:55,802.0606,20.8282,39.377024,1,1,0,0,1,0,0,1,16,3,1,0,1
30-01-23 04:00,782.263,20.8481,39.395522,1,1,0,0,1,0,0,1,16,4,1,0,1
30-01-23 04:05,792.9867,20.8481,39.367775,1,1,0,0,1,0,0,1,16,4,1,0,1
30-01-23 04:10,803.7104,20.8481,39.395522,1,1,0,0,1,0,0,1,16,4,1,0,1
30-01-23 04:15,811.9594,20.868,39.358526,1,1,0,0,1,0,0,1,16,4,1,0,1
30-01-23 04:20,,,,1,1,0,0,1,0,0,1,16,4,1,0,1
30-01-23 04:25,794.6365,20.89785,39.358526,1,1,0,0,1,0,0,1,16,4,1,0,1
30-01-23 04:30,814.4341,20.8879,39.340028,1,1,0,0,1,0,0,1,16,4,1,0,1
30-01-23 04:35,787.2124,20.91775,39.358526,1,1,0,0,1,0,0,1,16,4,1,0,1
30-01-23 04:40,808.6598,20.89785,39.377024,1,1,0,0,1,0,0,1,16,4,1,0,1
30-01-23 04:45,789.6871,20.8879,39.395522,1,1,0,0,1,0,0,1,16,4,1,0,1
30-01-23 04:50,830.1072,20.89785,39.395522,1,1,0,0,1,0,0,1,16,4,1,0,1
30-01-23 04:55,788.0373,20.89785,39.377024,1,1,0,0,1,0,0,1,16,4,1,0,1
30-01-23 05:00,793.8116,20.9078,39.404771,1,1,0,0,1,0,0,1,16,5,1,0,1
30-01-23 05:05,812.7843,20.89785,39.358526,1,1,0,0,1,0,0,1,16,5,1,0,1
30-01-23 05:10,799.5859,20.91775,39.367775,1,1,0,0,1,0,0,1,16,5,1,0,1
30-01-23 05:15,793.8116,20.9078,39.367775,1,1,0,0,1,0,0,1,16,5,1,0,1
30-01-23 05:20,,,,1,1,0,0,1,0,0,1,16,5,1,0,1
30-01-23 05:25,785.5626,20.91775,39.293783,1,1,0,0,1,0,0,1,16,5,1,0,1
30-01-23 05:30,817.7337,20.9277,39.303032,1,1,0,0,1,0,0,1,16,5,1,0,1
30-01-23 05:35,796.2863,20.93765,39.266036,1,1,0,0,1,0,0,1,16,5,1,0,1
